Tiplabels,DRrate
Viola_lanceolata,0.780913310950461
Viola_macloskeyi_subsp._pallens,0.755500495487098
Viola_blanda,0.981840916475228
Viola_primulifolia,0.981840916475228
Viola_renifolia,0.212814365616325
Viola_diamantiaca,0.312518804511666
Viola_rossii,0.405555834828909
Viola_moupinensis,0.405555834828909
Viola_verecunda,0.303704162434524
Viola_triangulifolia,0.303704162434524
Viola_sagittata,0.157736361725797
Viola_pedata,0.157736361725799
Viola_principis,0.0863880974166621
Viola_diffusa,0.0863880974166621
Hybanthus_concolor,0.0139935969367151
Licania_michauxii,0.00966393118107257
Oxalis_debilis,0.0191872455203799
Oxalis_violacea,0.0191872455203799
Oxalis_griffithii,0.0191872455203799
Oxalis_grandis,0.0191872455203799
Oxalis_montana,0.0191872455203799
Oxalis_acetosella,0.0191872455203799
Oxalis_dillenii,0.0738541637991504
Oxalis_stricta,0.0738541637991504
Oxalis_corniculata,0.0376369747416544
Oxalis_articulata_subsp._rubra,0.0191872455203799
Oxalis_acetosella_subsp._japonica,0.0191872455203799
Sloanea_sinensis,0.0120244394221468
Elaeocarpus_glabripetalus,0.0379492134711581
Elaeocarpus_decipiens,0.0379492134711581
Elaeocarpus_japonicus,0.0400358556828855
Elaeocarpus_chinensis,0.0400358556828855
Celastrus_hypoleucoides,0.0617692828260337
Celastrus_angulatus,0.181427234840641
Celastrus_hypoleucus,0.181427234840641
Celastrus_flagellaris,0.213812109858585
Celastrus_hindsii,0.310107156740447
Celastrus_gemmatus,0.507544679269543
Celastrus_orbiculatus,0.507544679269543
Celastrus_stylosus,0.381695922254347
Celastrus_oblanceifolius,0.572868350619922
Celastrus_aculeatus,0.572868350619922
Celastrus_rugosus,0.897781712783971
Celastrus_glaucophyllus,0.897781712783971
Celastrus_rosthornianus,0.604239827083347
Celastrus_vaniotii,0.394957184115
Celastrus_scandens,0.205328434477537
Tripterygium_wilfordii,0.0678651262572362
Tripterygium_hypoglaucum,0.0678651262572362
Euonymus_nitidus,0.127504288816668
Euonymus_centidens,0.127504288816668
Euonymus_hamiltonianus,0.18260499559951
Euonymus_maackii,0.18260499559951
Euonymus_alatus,0.17720365466362
Euonymus_phellomanus,0.17720365466362
Euonymus_fortunei,0.177873593332591
Euonymus_carnosus,0.236203250926067
Euonymus_grandiflorus,0.236203250926067
Euonymus_verrucosus,0.11104901156442
Euonymus_myrianthus,0.0792882483945209
Euonymus_semenovii,0.0615809125429351
Euonymus_americanus,0.0917116364740836
Euonymus_bockii,0.222370242019211
Euonymus_kiautschovicus,0.222370242019211
Euonymus_acanthocarpus,0.179720219837069
Euonymus_subsessilis,0.13443009692186
Euonymus_macropterus,0.157491900479719
Euonymus_oxyphyllus,0.157491900479719
Euonymus_sanguineus,0.101549155164453
Euonymus_euscaphis,0.0283302747676921
Euonymus_hupehensis,0.0283302747676921
Parnassia_foliosa,0.0508644336926217
Parnassia_wightiana,0.0788027222092207
Parnassia_delavayi,0.0788027222092208
Parnassia_palustris,0.0502109969194452
Parnassia_asarifolia,0.0502109969194452
Parnassia_oreophila,0.0212030893380099
Microtropis_fokienensis,0.0108214637766993
Hemsleya_graciliflora,0.0525342775467256
Hemsleya_chinensis,0.0525342775467256
Gynostemma_pentaphyllum,0.0286348180999919
Actinostemma_tenerum,0.0308485478646473
Bolbostemma_paniculatum,0.0308485478646473
Citrullus_lanatus,0.0814428366668408
Lagenaria_siceraria,0.0814428366668408
Benincasa_hispida,0.067423102543548
Cucumis_anguria,0.0692892031384542
Neoachmandra_japonica,0.0692892031384545
Melothria_pendula,0.062113267576417
Cucurbita_moschata,0.0411191384700768
Schizopepon_dioicus,0.0350873347362324
Trichosanthes_cucumeroides,0.0694884455126607
Trichosanthes_rosthornii,0.106498656000176
Trichosanthes_kirilowii,0.106498656000176
Sicyos_angulatus,0.0578175341915608
Echinocystis_lobata,0.0578175341915608
Luffa_aegyptiaca,0.0376306155883554
Thladiantha_oliveri,0.124256579764607
Thladiantha_dubia,0.124256579764607
Thladiantha_henryi,0.072731509065693
Thladiantha_nudiflora,0.0718341257942517
Thladiantha_hookeri,0.0718341257942517
Begonia_grandis,0.133946003799459
Begonia_grandis_subsp._evansiana,0.133946003799459
Begonia_grandis_subsp._sinensis,0.0754772985959276
Begonia_henryi,0.0448513022155171
Begonia_pedatifida,0.0321249084774239
Begonia_cubensis,0.021993088594387
Coriaria_nepalensis,0.013982918302578
Fagus_longipetiolata,0.0908752410060359
Fagus_engleriana,0.0908752410060359
Fagus_lucida,0.0499051160819089
Fagus_sylvatica,0.0264447903233481
Fagus_grandifolia,0.0264447903233481
Lithocarpus_chrysocomus,0.0596333836871653
Lithocarpus_brevicaudatus,0.0596333836871653
Lithocarpus_paniculatus,0.0596333836871653
Lithocarpus_eriobotryoides,0.0596333836871653
Lithocarpus_glaber,0.205796015234926
Lithocarpus_henryi,0.205796015234926
Lithocarpus_hancei,0.139374684122439
Lithocarpus_cleistocarpus,0.089715167117479
Castanea_seguinii,0.115205015371907
Castanea_henryi,0.115205015371907
Castanea_pumila,0.0790225523054866
Castanea_mollissima,0.118921164037005
Castanea_dentata,0.118921164037005
Castanopsis_tibetana,0.0789861539049563
Castanopsis_fordii,0.263575194901691
Castanopsis_fargesii,0.263575194901691
Castanopsis_carlesii,0.185957858969443
Castanopsis_eyrei,0.218608695696393
Castanopsis_sclerophylla,0.218608695696393
Quercus_ilicifolia,0.0369627245364394
Quercus_margarettae,0.0369627245364394
Quercus_falcata,0.0369627245364394
Quercus_imbricaria,0.0369627245364394
Quercus_acrodonta,0.0369627245364394
Quercus_arkansana,0.0369627245364394
Quercus_jenseniana,0.0369627245364394
Quercus_prinus,0.0369627245364394
Quercus_serrata,0.0369627245364394
Quercus_mongolica,0.0369627245364394
Quercus_aliena,0.0369627245364394
Quercus_multinervis,0.092140383026386
Quercus_stewardiana,0.130973225574506
Quercus_sessilifolia,0.260438161369259
Quercus_oxyodon,0.260438161369259
Quercus_ciliaris,0.247034348088936
Quercus_myrsinifolia,0.309271778942636
Quercus_glauca,0.309271778942636
Quercus_dolicholepis,0.0709386881941026
Quercus_fabri,0.123690457500496
Quercus_wutaishanica,0.159778380413768
Quercus_dentata,0.159778380413768
Quercus_geminata,0.128692575332233
Quercus_lobata,0.176293573224853
Quercus_prinoides,0.221930518653532
Quercus_stellata,0.325287859632979
Quercus_montana,0.325287859632979
Quercus_bicolor,0.328011796217291
Quercus_michauxii,0.328011796217291
Quercus_alba,0.390120331715748
Quercus_chapmanii,0.390120331715748
Quercus_virginiana,0.344062776751857
Quercus_phillyraeoides,0.131569546283064
Quercus_variabilis,0.230202497573737
Quercus_acutissima,0.230202497573737
Quercus_spinosa,0.101074154550501
Quercus_incana,0.107256078207032
Quercus_phellos,0.107256078207032
Quercus_laurifolia,0.16412957608049
Quercus_rubra,0.189949684178956
Quercus_velutina,0.189949684178956
Quercus_coccinea,0.174712982578281
Quercus_nigra,0.36795076856706
Quercus_hemisphaerica,0.36795076856706
Quercus_laevis,0.268208128371668
Quercus_shumardii,0.281223723220083
Quercus_pumila,0.353693225408774
Quercus_myrtifolia,0.353693225408774
Quercus_marilandica,0.0966520649473136
Juglans_mandshurica,0.0794032404884757
Juglans_cinerea,0.101235275608134
Juglans_cathayensis,0.101235275608134
Juglans_regia,0.058996688497863
Juglans_nigra,0.0436031368278273
Cyclocarya_paliurus,0.0427463626533319
Pterocarya_hupehensis,0.0662994685914802
Pterocarya_macroptera,0.110087825486562
Pterocarya_macroptera_var._insignis,0.170179749974499
Pterocarya_stenoptera,0.170179749974499
Carya_illinoinensis,0.114772440879432
Carya_ovata,0.205513157018836
Carya_cordiformis,0.343790493918548
Carya_glabra,0.556861045567898
Carya_alba,0.556861045567898
Carya_illinoiensis,0.0635841694733219
Carya_tomentosa,0.0363777825404501
Carya_pallida,0.0363777825404501
Carya_cathayensis,0.03637778254045
Platycarya_strobilacea,0.0135351187720538
Myrica_heterophylla,0.0716589646111586
Morella_cerifera,0.0716589646111586
Morella_rubra,0.0419683416738606
Comptonia_peregrina,0.0281953219171257
Myrica_gale,0.0180061047969535
Alnus_serrulata,0.0165934866281202
Alnus_alnobetula,0.0377092594059731
Alnus_mandshurica,0.0377092594059731
Alnus_viridis,0.0283500748343754
Alnus_japonica,0.0214332573535525
Alnus_incana,0.0262329757698818
Alnus_hirsuta,0.0262329757698818
Betula_chinensis,0.0170881329358089
Betula_ovalifolia,0.0170881329358089
Betula_cordifolia,0.0170881329358089
Betula_utilis_subsp._albosinensis,0.0170881329358089
Betula_luminifera,0.0228072880810302
Betula_nigra,0.0247786351847126
Betula_lenta,0.0260065196429105
Betula_papyrifera,0.0482725855156092
Betula_alleghaniensis,0.0482725855156092
Betula_utilis,0.0266173487125961
Betula_schmidtii,0.0300682063248945
Betula_fruticosa,0.0323877778604819
Betula_costata,0.0373203472940338
Betula_davurica,0.0414301002078605
Betula_ermanii,0.0446730150778379
Betula_platyphylla,0.0446730150778379
Betula_austrosinensis,0.0351961860903481
Betula_populifolia,0.0239494474592004
Corylus_chinensis,0.0772989648822095
Corylus_americana,0.136292081378558
Corylus_cornuta,0.136292081378558
Corylus_heterophylla,0.062321372585738
Corylus_heterophylla_var._sutchuenensis,0.0457786051806473
Corylus_ferox_var._thibetica,0.0304162314541462
Corylus_mandshurica,0.0304162314541462
Ostrya_virginiana,0.0533051652868099
Ostrya_rehderiana,0.0533051652868099
Carpinus_caroliniana,0.107059557938317
Carpinus_tschonoskii,0.281046144081673
Carpinus_londoniana,0.281046144081673
Carpinus_viminea,0.167428154112588
Carpinus_turczaninovii,0.114407787192614
Carpinus_polyneura,0.192228531758208
Carpinus_pubescens,0.192228531758208
Carpinus_hupeana,0.0543650395304426
Carpinus_fargesiana,0.0543650395304426
Carpinus_cordata,0.0543650395304426
Ostryopsis_davidiana,0.0244654002711116
Potentilla_nivea,0.0173926523410141
Potentilla_tanacetifolia,0.0192060938745195
Potentilla_retusa,0.0192060938745195
Potentilla_cryptotaeniae,0.024835271097135
Potentilla_kleiniana,0.024835271097135
Potentilla_verticillaris,0.0258977614580968
Potentilla_multicaulis,0.0258977614580968
Potentilla_discolor,0.0200939068874079
Potentilla_norvegica,0.0161994147736035
Potentilla_longifolia,0.0153986636632358
Potentilla_freyniana,0.014688439756527
Potentilla_flagellaris,0.0232553108968952
Potentilla_canadensis,0.0459535834364842
Potentilla_simplex,0.0459535834364842
Potentilla_centigrana,0.0150237618799682
Potentilla_sterilis,0.0139780849175216
Potentilla_anserina,0.0150158569234284
Potentilla_glabra,0.0150158569234284
Potentilla_supina_subsp._paradoxa,0.0183287913972636
Potentilla_supina_subsp._supina,0.0183287913972636
Potentilla_ancistrifolia,0.0135958681425887
Potentilla_simulatrix,0.0135958681425887
Potentilla_parvifolia,0.0135958681425887
Potentilla_argentea,0.0135958681425887
Potentilla_indica_var._indica,0.0135958681425887
Potentilla_fragarioides,0.0135958681425887
Potentilla_chinensis,0.0135958681425887
Potentilla_multifida,0.0135958681425887
Potentilla_reptans,0.0135958681425887
Duchesnea_indica,0.0179295974013787
Duchesnea_chrysantha,0.0179295974013787
Comarum_palustre,0.0166865276674203
Sibbaldiopsis_tridenta,0.0316374177294246
Sibbaldia_procumbens,0.0316374177294246
Fragaria_orientalis,0.0271539773761095
Fragaria_virginiana,0.0271539773761095
Chamaerhodos_canescens,0.0376525459967869
Chamaerhodos_erecta,0.0376525459967869
Dasiphora_fruticosa,0.0192317633656684
Sanguisorba_officinalis,0.0326560904443922
Sanguisorba_tenuifolia,0.0326560904443922
Sanguisorba_sitchensis,0.0172922293847225
Sanguisorba_obtusa,0.0146836489878436
Sanguisorba_parviflora,0.0146836489878436
Sanguisorba_applanata,0.0146836489878436
Sanguisorba_officinalis_var._longifolia,0.0146836489878436
Agrimonia_gryposepala,0.0232921501158897
Agrimonia_parviflora,0.0232921501158897
Agrimonia_pubescens,0.0232921501158897
Agrimonia_rostellata,0.0232921501158897
Agrimonia_microcarpa,0.0232921501158897
Agrimonia_coreana,0.0232921501158897
Agrimonia_pilosa,0.0232921501158897
Rosa_bracteata,0.0128815206958072
Rosa_sertata,0.0128815206958072
Rosa_maximowicziana,0.0128815206958072
Rosa_multiflora_var._cathayensis,0.0128815206958072
Rosa_dahurica,0.0128815206958072
Rosa_koreana,0.0275015660859599
Rosa_carolina,0.0370627808280631
Rosa_davurica,0.0525390979513686
Rosa_bella,0.0525390979513686
Rosa_palustris,0.0192623631186478
Rosa_henryi,0.0172347166814218
Rosa_multiflora,0.0196841009367297
Rosa_helenae,0.0196841009367297
Rosa_roxburghii,0.0199780713199225
Rosa_caudata,0.0209833619946727
Rosa_acicularis,0.0288421448834408
Rosa_spinosissima,0.0288421448834408
Rosa_laevigata,0.0191840193438869
Rosa_cymosa,0.0271898240784972
Rosa_banksiae,0.0271898240784972
Rosa_rubus,0.0158007592526676
Rubus_pensilvanicus,0.0116756981247357
Rubus_pubescens,0.0116756981247357
Rubus_canadensis,0.0116756981247357
Rubus_repens,0.0116756981247357
Rubus_buergeri,0.0116756981247357
Rubus_hispidus,0.0116756981247357
Rubus_sachalinensis,0.0116756981247357
Rubus_hunanensis,0.0116756981247357
Rubus_trivialis,0.0116756981247357
Rubus_setosus,0.0116756981247357
Rubus_argutus,0.0116756981247357
Rubus_amabilis,0.0116756981247357
Rubus_chingii,0.0116756981247357
Rubus_parkeri,0.0116756981247357
Rubus_kulinganus,0.0116756981247357
Rubus_flosculosus,0.0116756981247357
Rubus_adenophorus,0.0116756981247357
Rubus_tsangiorum,0.0116756981247357
Rubus_playfairianus,0.0116756981247357
Rubus_lambertianus_var._glaber,0.0116756981247357
Rubus_vermontanus,0.0116756981247357
Rubus_peltatus,0.0116756981247357
Rubus_henryi,0.0116756981247357
Rubus_xanthoneurus,0.0116756981247357
Rubus_laciniatus,0.0116756981247357
Rubus_junceus,0.0116756981247357
Rubus_pacificus,0.0116756981247357
Rubus_pileatus,0.0116756981247357
Rubus_pungens_var._oldhamii,0.0116756981247357
Rubus_sumatranus,0.0116756981247357
Rubus_dalibarda,0.0116756981247357
Rubus_impressinervius,0.0116756981247357
Rubus_inopertus,0.0116756981247357
Rubus_occidentalis,0.0181957969471363
Rubus_pungens,0.0181957969471363
Rubus_saxatilis,0.0177348718602423
Rubus_setchuenensis,0.0234074805784759
Rubus_amphidasys,0.0358221843017354
Rubus_swinhoei,0.0377997168095381
Rubus_lambertianus,0.0635668733007317
Rubus_reflexus,0.0635668733007317
Rubus_irenaeus,0.0408763235250374
Rubus_pectinellus,0.0393187146810624
Rubus_tephrodes,0.0330819944132525
Rubus_ichangensis,0.0289789250652385
Rubus_rosifolius,0.0327646226405829
Rubus_hirsutus,0.0327646226405829
Rubus_corchorifolius,0.0214483538333385
Rubus_trianthus,0.0336864240768837
Rubus_crataegifolius,0.0336864240768837
Rubus_arcticus,0.0163685747643916
Rubus_phoenicolasius,0.0408476658049996
Rubus_parvifolius,0.0408476658049996
Rubus_innominatus,0.0400470913216788
Rubus_innominatus_var._kuntzeanus,0.0400470913216788
Rubus_coreanus,0.0228920967958895
Rubus_idaeus,0.0169790162535424
Rubus_cuneifolius,0.0168247431158657
Rubus_allegheniensis,0.0168247431158657
Rubus_flagellaris,0.0159306628656586
Rubus_odoratus,0.0135577908550978
Rubus_chamaemorus,0.0128165455680176
Geum_canadense,0.0157919249794378
Geum_japonicum,0.0157919249794378
Geum_virginianum,0.0157919249794378
Geum_laciniatum,0.0157919249794378
Geum_rivale,0.0306767105455021
Geum_aleppicum,0.0306767105455021
Filipendula_intermedia,0.0166854609239947
Filipendula_palmata,0.0611385767909422
Filipendula_angustiloba,0.0611385767909422
Filipendula_glaberrima,0.0313384336889872
Dryas_octopetala_var._asiatica,0.0103328012883475
Aronia_arbutifolia,0.197773089334557
Aronia_melanocarpa,0.197773089334557
Malus_angustifolia,0.145524447187009
Malus_leiocalyca,0.145524447187009
Malus_soulardii,0.145524447187009
Malus_komarovii,0.145524447187009
Malus_asiatica,0.145524447187009
Malus_hupehensis,0.243070399871521
Malus_pumila,0.243070399871522
Malus_baccata,0.381052404705334
Malus_mandshurica,0.381052404705333
Malus_sieboldii,0.186045548726114
Photinia_beauverdiana,0.139969127105652
Photinia_schneideriana,0.447511257091328
